"","inventory_date","inventory_start_time","plot_key","initials_of_nearest_road","new_plot_key","crew","area_of_ranch","short_description_of_treament","any_other_description_of_treatment","treatment_year","weather","inventory_end_time","x","y","what_is_the_percent_slope_nearest_integer","are_there_trees_present","are_there_seedlings_present","are_there_saplings_present","any_notes_about_site","alive_or_dead","crown_height_m","crown_light_exposure","crown_position","dbh_cm_tree","epicormic_growth_present","percent_dieback","total_height_m_tree","tree_species","what_if_any_disease_damage_present","size_class","dbh_cm_sapling","total_height_m_sapling","number_of_seedlings","browse_count","other_count","sprucebudworm_count","mechanicaldamage_count","defoliation_count","aspenbud_count","galls_count","douglasfiradelgid_count","browse_presence","insect_presence","other_damage_presence","no_damage_presence"
"11","6/12/2023 6:00:00 PM","10:05","122","SR","FM_SR_122_2023","JC,RM,TM","Baldies","UNKNOWN","",2021,"partly_cloudy","10:05",-105.293289357894,37.3564264504587,27,"Yes","Yes","No","","living",9,5,2,26,"No",10,14.3,"PIPO","canker","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","1","0"
"12","6/6/23 18:00","10:27","136","MB","FM_MB_136_2023","TM,RM,JC,ML","Baldies","UNKNOWN",NA,2018,"sunny","10:27",-105.2876649,37.33754982,NA,NA,NA,NA,NA,"dead",0,0,2,30.5,"No",NA,17.8,"POTR","browse,canker","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","1","0"
"13","6/7/2023 6:00:00 PM","09:06","144","WTC","FM_WTC_144_2023","TM,RM,JC,ML","Baldies","UNKNOWN",NA,2021,"partly_cloudy","09:06",-105.270888134935,37.3474200535913,NA,NA,NA,NA,NA,"living",7,5,2,24.5,"No",20,12.2,"PIPO","mechanicaldamage","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","1","0"
"14","6/12/2023 6:00:00 PM","10:05","122","SR","FM_SR_122_2023","JC,RM,TM","Baldies","UNKNOWN","",2021,"partly_cloudy","10:05",-105.293289357894,37.3564264504587,27,"Yes","Yes","No","","dead",NA,NA,NA,11,"",NA,NA,"PSME","canker","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","1","0"
"15","6/6/23 18:00","10:27","136","MB","FM_MB_136_2023","TM,RM,JC,ML","Baldies","UNKNOWN",NA,2018,"sunny","10:27",-105.2876649,37.33754982,NA,NA,NA,NA,NA,"dead",0,0,2,30,"No",NA,17.6,"POTR","browse","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","1","0"
"16","6/7/2023 6:00:00 PM","09:06","144","WTC","FM_WTC_144_2023","TM,RM,JC,ML","Baldies","UNKNOWN",NA,2021,"partly_cloudy","09:06",-105.270888134935,37.3474200535913,NA,NA,NA,NA,NA,"living",6,5,2,19,"No",20,9.7,"PSME","none","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","1"
"17","6/12/2023 6:00:00 PM","10:05","122","SR","FM_SR_122_2023","JC,RM,TM","Baldies","UNKNOWN","",2021,"partly_cloudy","10:05",-105.293289357894,37.3564264504587,27,"Yes","Yes","No","","living",6.7,5,4,18,"No",10,9.6,"PIPO","none","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","1"
"18","6/6/23 18:00","10:27","136","MB","FM_MB_136_2023","TM,RM,JC,ML","Baldies","UNKNOWN",NA,2018,"sunny","10:27",-105.2876649,37.33754982,NA,NA,NA,NA,NA,"living",4.2,5,2,37,"No",10,22,"POTR","browse","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","1","0"
"19","6/7/2023 6:00:00 PM","09:06","144","WTC","FM_WTC_144_2023","TM,RM,JC,ML","Baldies","UNKNOWN",NA,2021,"partly_cloudy","09:06",-105.270888134935,37.3474200535913,NA,NA,NA,NA,NA,"living",5.5,5,2,16.5,"No",35,9.9,"PSME","none","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","1"
"20","6/12/2023 6:00:00 PM","10:05","122","SR","FM_SR_122_2023","JC,RM,TM","Baldies","UNKNOWN","",2021,"partly_cloudy","10:05",-105.293289357894,37.3564264504587,27,"Yes","Yes","No","","living",3.8,5,4,13.5,"No",0,6.5,"PIPO","mechanicaldamage","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","1","0"
"21","6/6/23 18:00","10:27","136","MB","FM_MB_136_2023","TM,RM,JC,ML","Baldies","UNKNOWN",NA,2018,"sunny","10:27",-105.2876649,37.33754982,NA,NA,NA,NA,NA,"living",4.1,5,2,38,"No",15,19,"POTR","mechanicaldamage,browse","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","1","0"
"22","6/7/2023 6:00:00 PM","09:06","144","WTC","FM_WTC_144_2023","TM,RM,JC,ML","Baldies","UNKNOWN",NA,2021,"partly_cloudy","09:06",-105.270888134935,37.3474200535913,NA,NA,NA,NA,NA,"living",4.5,5,4,11,"Yes",5,6.5,"PSME","none","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","1"
"23","6/12/2023 6:00:00 PM","10:05","122","SR","FM_SR_122_2023","JC,RM,TM","Baldies","UNKNOWN","",2021,"partly_cloudy","10:05",-105.293289357894,37.3564264504587,27,"Yes","Yes","No","","living",6.3,5,4,17.5,"No",20,9.7,"PSME","mechanicaldamage,sapsucker","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","1","0"
"24","6/6/23 18:00","10:27","136","MB","FM_MB_136_2023","TM,RM,JC,ML","Baldies","UNKNOWN",NA,2018,"sunny","10:27",-105.2876649,37.33754982,NA,NA,NA,NA,NA,"dead",0,0,3,43.5,"No",NA,5.2,"POTR","browse,mechanicaldamage","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","1","0"
"25","6/7/2023 6:00:00 PM","09:06","144","WTC","FM_WTC_144_2023","TM,RM,JC,ML","Baldies","UNKNOWN",NA,2021,"partly_cloudy","09:06",-105.270888134935,37.3474200535913,NA,NA,NA,NA,NA,"living",3.5,5,2,18,"Yes",15,8.5,"PSME","none","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","1"
"26","6/12/2023 6:00:00 PM","10:05","122","SR","FM_SR_122_2023","JC,RM,TM","Baldies","UNKNOWN","",2021,"partly_cloudy","10:05",-105.293289357894,37.3564264504587,27,"Yes","Yes","No","","dead",NA,NA,NA,17,"",NA,NA,"PSME","sapsucker,mechanicaldamage,winddamage","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","1","0"
"27","6/6/23 18:00","10:27","136","MB","FM_MB_136_2023","TM,RM,JC,ML","Baldies","UNKNOWN",NA,2018,"sunny","10:27",-105.2876649,37.33754982,NA,NA,NA,NA,NA,"living",5.3,3,3,10.5,"No",0,8.5,"POTR","browse","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","1","0"
"28","6/7/2023 6:00:00 PM","09:06","144","WTC","FM_WTC_144_2023","TM,RM,JC,ML","Baldies","UNKNOWN",NA,2021,"partly_cloudy","09:06",-105.270888134935,37.3474200535913,NA,NA,NA,NA,NA,"living",7,5,4,17,"Yes",20,9.3,"PSME","sprucebudworm,mechanicaldamage","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","1","0","0"
"29","6/12/2023 6:00:00 PM","10:05","122","SR","FM_SR_122_2023","JC,RM,TM","Baldies","UNKNOWN","",2021,"partly_cloudy","10:05",-105.293289357894,37.3564264504587,27,"Yes","Yes","No","","living",3.9,4,3,12,"No",0,5.3,"JUSC","mechanicaldamage","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","1","0"
"30","6/6/23 18:00","10:27","136","MB","FM_MB_136_2023","TM,RM,JC,ML","Baldies","UNKNOWN",NA,2018,"sunny","10:27",-105.2876649,37.33754982,NA,NA,NA,NA,NA,"living",4.9,4,2,31,"No",20,18.1,"POTR","mechanicaldamage,browse,,winddamage","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","1","0"
"31","6/7/2023 6:00:00 PM","09:06","144","WTC","FM_WTC_144_2023","TM,RM,JC,ML","Baldies","UNKNOWN",NA,2021,"partly_cloudy","09:06",-105.270888134935,37.3474200535913,NA,NA,NA,NA,NA,"living",4,5,4,14.5,"No",5,8.4,"PSME","mechanicaldamage,canker","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","1","0"
"32","6/12/2023 6:00:00 PM","10:05","122","SR","FM_SR_122_2023","JC,RM,TM","Baldies","UNKNOWN","",2021,"partly_cloudy","10:05",-105.293289357894,37.3564264504587,27,"Yes","Yes","No","","living",5.7,5,2,24,"No",5,10.6,"PIPO","mistletoe","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","1","0"
"33","6/6/23 18:00","10:27","136","MB","FM_MB_136_2023","TM,RM,JC,ML","Baldies","UNKNOWN",NA,2018,"sunny","10:27",-105.2876649,37.33754982,NA,NA,NA,NA,NA,"dead",0,NA,NA,25,"No",NA,13.9,"POTR","canker,browse","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","1","0"
"34","6/7/2023 6:00:00 PM","09:06","144","WTC","FM_WTC_144_2023","TM,RM,JC,ML","Baldies","UNKNOWN",NA,2021,"partly_cloudy","09:06",-105.270888134935,37.3474200535913,NA,NA,NA,NA,NA,"living",9.6,5,4,22.5,"No",25,10.8,"PSME","canker","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","1","0"
"35","6/12/2023 6:00:00 PM","10:05","122","SR","FM_SR_122_2023","JC,RM,TM","Baldies","UNKNOWN","",2021,"partly_cloudy","10:05",-105.293289357894,37.3564264504587,27,"Yes","Yes","No","","living",4.3,5,2,15,"Yes",10,9.6,"PSME","mechanicaldamage","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","1","0"
"36","6/6/23 18:00","10:27","136","MB","FM_MB_136_2023","TM,RM,JC,ML","Baldies","UNKNOWN",NA,2018,"sunny","10:27",-105.2876649,37.33754982,NA,NA,NA,NA,NA,"living",6.5,3,2,31,"No",10,19.7,"POTR","mechanicaldamage,browse","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","1","0"
"37","6/7/2023 6:00:00 PM","09:06","144","WTC","FM_WTC_144_2023","TM,RM,JC,ML","Baldies","UNKNOWN",NA,2021,"partly_cloudy","09:06",-105.270888134935,37.3474200535913,NA,NA,NA,NA,NA,"living",7.2,5,4,16.5,"No",45,10.7,"PSME","mechanicaldamage","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","1","0"
"38","6/12/2023 6:00:00 PM","10:05","122","SR","FM_SR_122_2023","JC,RM,TM","Baldies","UNKNOWN","",2021,"partly_cloudy","10:05",-105.293289357894,37.3564264504587,27,"Yes","Yes","No","","living",4,5,2,21,"No",0,10,"PIPO","mechanicaldamage","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","1","0"
"39","6/6/23 18:00","10:27","136","MB","FM_MB_136_2023","TM,RM,JC,ML","Baldies","UNKNOWN",NA,2018,"sunny","10:27",-105.2876649,37.33754982,NA,NA,NA,NA,NA,"living",8.2,5,2,39.5,"No",5,22.4,"POTR","browse","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","1","0"
"40","6/7/2023 6:00:00 PM","09:06","144","WTC","FM_WTC_144_2023","TM,RM,JC,ML","Baldies","UNKNOWN",NA,2021,"partly_cloudy","09:06",-105.270888134935,37.3474200535913,NA,NA,NA,NA,NA,"living",7,5,4,19,"Yes",10,9.6,"PSME","sprucebudworm","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","1","0","0"
"41","6/12/2023 6:00:00 PM","10:05","122","SR","FM_SR_122_2023","JC,RM,TM","Baldies","UNKNOWN","",2021,"partly_cloudy","10:05",-105.293289357894,37.3564264504587,27,"Yes","Yes","No","","living",2.3,5,4,10.5,"No",30,3.7,"PIPO","winddamage","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","1","0"
"42","6/6/23 18:00","10:27","136","MB","FM_MB_136_2023","TM,RM,JC,ML","Baldies","UNKNOWN",NA,2018,"sunny","10:27",-105.2876649,37.33754982,NA,NA,NA,NA,NA,"dead",0,NA,NA,25,"",NA,17.1,"POTR","browse,mechanicaldamage","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","1","0"
"43","6/7/2023 6:00:00 PM","09:06","144","WTC","FM_WTC_144_2023","TM,RM,JC,ML","Baldies","UNKNOWN",NA,2021,"partly_cloudy","09:06",-105.270888134935,37.3474200535913,NA,NA,NA,NA,NA,"living",6.6,5,4,23.5,"Yes",40,10.9,"PSME","mechanicaldamage","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","1","0"
"44","6/12/2023 6:00:00 PM","11:21","114","SR","FM_SR_114_2023","JC,RM,TM","Baldies","UNKNOWN","",2021,"partly_cloudy","11:21",-105.293581634858,37.3515706463133,33,"Yes","No","No","","living",7,5,4,21.5,"No",10,9.9,"POTR","browse,canker,mechanicaldamage","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","1","0"
"45","6/6/23 18:00","12:29","137","BL","FM_BL_137_2023","TM,RM,JC,ML","Baldies","UNKNOWN",NA,NA,"partly_cloudy","12:29",-105.2865333,37.33915487,NA,NA,NA,NA,NA,"living",4,4,2,23.5,"No",30,15.2,"POTR","browse,mechanicaldamage","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","1","0"
"46","6/7/2023 6:00:00 PM","09:06","144","WTC","FM_WTC_144_2023","TM,RM,JC,ML","Baldies","UNKNOWN",NA,2021,"partly_cloudy","09:06",-105.270888134935,37.3474200535913,NA,NA,NA,NA,NA,"living",4.9,4,2,15.5,"No",5,11.1,"PIPO","none","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","1"
"47","6/12/2023 6:00:00 PM","11:21","114","SR","FM_SR_114_2023","JC,RM,TM","Baldies","UNKNOWN","",2021,"partly_cloudy","11:21",-105.293581634858,37.3515706463133,33,"Yes","No","No","","living",0.8,5,4,11,"Yes",70,2.4,"PSME","winddamage,sapsucker","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","1","0"
"48","6/6/23 18:00","12:29","137","BL","FM_BL_137_2023","TM,RM,JC,ML","Baldies","UNKNOWN",NA,NA,"partly_cloudy","12:29",-105.2865333,37.33915487,NA,NA,NA,NA,NA,"living",5.7,4,2,29,"No",20,16.2,"POTR","mechanicaldamage,browse","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","1","0"
"49","6/7/2023 6:00:00 PM","09:06","144","WTC","FM_WTC_144_2023","TM,RM,JC,ML","Baldies","UNKNOWN",NA,2021,"partly_cloudy","09:06",-105.270888134935,37.3474200535913,NA,NA,NA,NA,NA,"living",10,5,2,28.5,"No",25,13,"PSME","none","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","1"
"50","6/12/2023 6:00:00 PM","11:54","107","SR","FM_SR_107_2023","JC,RM,TM","Baldies","UNKNOWN","",2021,"partly_cloudy","11:54",-105.291104111919,37.3535034712752,36,"Yes","No","Yes","","living",4,5,4,31,"No",15,4.8,"JUSC","mechanicaldamage","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","1","0"
"51","6/6/23 18:00","12:29","137","BL","FM_BL_137_2023","TM,RM,JC,ML","Baldies","UNKNOWN",NA,NA,"partly_cloudy","12:29",-105.2865333,37.33915487,NA,NA,NA,NA,NA,"living",4.8,4,2,26.5,"No",40,18.1,"POTR","mechanicaldamage,canker","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","1","0"
"52","6/7/2023 6:00:00 PM","09:06","144","WTC","FM_WTC_144_2023","TM,RM,JC,ML","Baldies","UNKNOWN",NA,2021,"partly_cloudy","09:06",-105.270888134935,37.3474200535913,NA,NA,NA,NA,NA,"living",4,5,4,11,"No",10,5.9,"PIPO","none","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","1"
"53","6/12/2023 6:00:00 PM","11:54","107","SR","FM_SR_107_2023","JC,RM,TM","Baldies","UNKNOWN","",2021,"partly_cloudy","11:54",-105.291104111919,37.3535034712752,36,"Yes","No","Yes","","living",2.8,5,4,17,"No",35,4.3,"JUSC","sapsucker,winddamage,mechanicaldamage","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","1","0"
"54","6/6/23 18:00","12:29","137","BL","FM_BL_137_2023","TM,RM,JC,ML","Baldies","UNKNOWN",NA,NA,"partly_cloudy","12:29",-105.2865333,37.33915487,NA,NA,NA,NA,NA,"living",9.7,4,2,19.5,"Yes",20,14.3,"PSME","N","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","1","0"
"55","6/7/2023 6:00:00 PM","09:06","144","WTC","FM_WTC_144_2023","TM,RM,JC,ML","Baldies","UNKNOWN",NA,2021,"partly_cloudy","09:06",-105.270888134935,37.3474200535913,NA,NA,NA,NA,NA,"living",6,5,4,13.5,"No",30,7.6,"PSME","canker,mechanicaldamage,sprucebudworm","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","1","0","0"
"56","6/12/2023 6:00:00 PM","11:54","107","SR","FM_SR_107_2023","JC,RM,TM","Baldies","UNKNOWN","",2021,"partly_cloudy","11:54",-105.291104111919,37.3535034712752,36,"Yes","No","Yes","","living",6.6,5,4,40.5,"No",30,9.8,"PIPO","none","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","1"
"57","6/6/23 18:00","12:29","137","BL","FM_BL_137_2023","TM,RM,JC,ML","Baldies","UNKNOWN",NA,NA,"partly_cloudy","12:29",-105.2865333,37.33915487,NA,NA,NA,NA,NA,"living",6,4,2,31,"No",10,16.6,"POTR","mechanicaldamage,canker","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","1","0"
"58","6/7/2023 6:00:00 PM","09:06","144","WTC","FM_WTC_144_2023","TM,RM,JC,ML","Baldies","UNKNOWN",NA,2021,"partly_cloudy","09:06",-105.270888134935,37.3474200535913,NA,NA,NA,NA,NA,"living",12.4,5,4,44,"No",35,15.6,"PSME","canker,sprucebudworm","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","1","0","0"
"59","6/12/2023 6:00:00 PM","11:54","107","SR","FM_SR_107_2023","JC,RM,TM","Baldies","UNKNOWN","",2021,"partly_cloudy","11:54",-105.291104111919,37.3535034712752,36,"Yes","No","Yes","","living",7.7,5,4,24,"Yes",30,9.5,"PSME","none","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","1"
"60","6/6/23 18:00","12:29","137","BL","FM_BL_137_2023","TM,RM,JC,ML","Baldies","UNKNOWN",NA,NA,"partly_cloudy","12:29",-105.2865333,37.33915487,NA,NA,NA,NA,NA,"dead",2.7,5,2,20.5,"No",15,15.5,"POTR","mechanicaldamage","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","1","0"
"61","6/7/2023 6:00:00 PM","09:06","144","WTC","FM_WTC_144_2023","TM,RM,JC,ML","Baldies","UNKNOWN",NA,2021,"partly_cloudy","09:06",-105.270888134935,37.3474200535913,NA,NA,NA,NA,NA,"living",6.5,5,4,23,"Yes",25,10,"PSME","barkbeetle,sprucebudworm","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","1","0","0"
"62","6/12/2023 6:00:00 PM","11:54","107","SR","FM_SR_107_2023","JC,RM,TM","Baldies","UNKNOWN","",2021,"partly_cloudy","11:54",-105.291104111919,37.3535034712752,36,"Yes","No","Yes","","living",2.8,5,4,18.5,"Yes",15,4.6,"JUSC","none","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","1"
"63","6/6/23 18:00","12:29","137","BL","FM_BL_137_2023","TM,RM,JC,ML","Baldies","UNKNOWN",NA,NA,"partly_cloudy","12:29",-105.2865333,37.33915487,NA,NA,NA,NA,NA,"dead",0,NA,NA,24,"No",NA,6.6,"POTR",",winddamage","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","1","0"
"64","6/7/2023 6:00:00 PM","09:06","144","WTC","FM_WTC_144_2023","TM,RM,JC,ML","Baldies","UNKNOWN",NA,2021,"partly_cloudy","09:06",-105.270888134935,37.3474200535913,NA,NA,NA,NA,NA,"dead",NA,NA,NA,12,"",NA,1.6,"PSME","mechanicaldamage,winddamage,sprucebudworm,canker","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","1","0","0"
"65","6/12/2023 6:00:00 PM","11:54","107","SR","FM_SR_107_2023","JC,RM,TM","Baldies","UNKNOWN","",2021,"partly_cloudy","11:54",-105.291104111919,37.3535034712752,36,"Yes","No","Yes","","living",4.7,5,2,18,"Yes",10,8.6,"PSME","canker","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","1","0"
"66","6/6/23 18:00","12:29","137","BL","FM_BL_137_2023","TM,RM,JC,ML","Baldies","UNKNOWN",NA,NA,"partly_cloudy","12:29",-105.2865333,37.33915487,NA,NA,NA,NA,NA,"living",3.6,5,2,25.5,"No",10,16.5,"POTR","mechanicaldamage","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","1","0"
"67","6/7/2023 6:00:00 PM","09:06","144","WTC","FM_WTC_144_2023","TM,RM,JC,ML","Baldies","UNKNOWN",NA,2021,"partly_cloudy","09:06",-105.270888134935,37.3474200535913,NA,NA,NA,NA,NA,"living",6.7,5,4,17.5,"Yes",35,8.9,"PSME","canker","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","1","0"
"68","6/12/2023 6:00:00 PM","11:54","107","SR","FM_SR_107_2023","JC,RM,TM","Baldies","UNKNOWN","",2021,"partly_cloudy","11:54",-105.291104111919,37.3535034712752,36,"Yes","No","Yes","","living",5.7,4,2,12,"Yes",25,7.7,"PSME","none","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","1"
"69","6/6/23 18:00","12:29","137","BL","FM_BL_137_2023","TM,RM,JC,ML","Baldies","UNKNOWN",NA,NA,"partly_cloudy","12:29",-105.2865333,37.33915487,NA,NA,NA,NA,NA,"living",5.9,4,2,26.5,"No",10,18.3,"POTR","mechanicaldamage,browse","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","1","0"
