"plot","treatment_year","treatment_type","basal_area_per_acre_in","average_dbh_in","average_height_ft","dominant_tree_species","regeneration_presence","seedlings_per_acre","dominant_regeneration_species","insect_damage_presence","browse_damage_presence","list_damage"
"FM_MB_142_2023","2018","Unknown",58.67,10.9,40.06,"Ponderosa pine (58.82%)","Regeneration present",1400,"Aspen (89.29%)","Insect damage present","Browse present","Browse, canker, mechanical damage, rot"
"FM_MBDE_118_2023","2021","Unknown",43.81,8.87,32.23,"Douglas fir (61.11%)","Regeneration present",50,"Douglas fir (100%)","Insect damage present","Browse present","Browse, canker, mechanical damage, sapsucker, spruce budworm"
"FM_MBR_146_2023","2021","Unknown",13,8.73,34.78,"Douglas fir (100.00%)","Regeneration present",0,"Douglas fir (100%)","Insect damage absent","Browse absent","Canker, mechanical damage, sapsucker"
"FM_S_105_2023","2020","Unknown",16.56,10.91,35.04,"Douglas fir (100.00%)","Regeneration absent",0,"None","Insect damage absent","Browse absent","Galls, mechanical damage"
"FM_S_106_2023","2020","Unknown",12.64,10.53,34.37,"Douglas fir (100.00%)","Regeneration present",50,"Rocky Mountain juniper (100%)","Insect damage absent","Browse absent","None"
"FM_S_108_2023","2020","Unknown",14.04,8.69,25.65,"Ponderosa pine (50.00%), Douglas fir (50.00%)","Regeneration absent",0,"None","Insect damage absent","Browse absent","Canker, sapsucker"
"FM_S_110_2023","2020","Unknown",40.04,10.68,41.37,"Douglas fir (83.33%)","Regeneration present",100,"Douglas fir (100%)","Insect damage present","Browse absent","Mechanical damage, spruce budworm"
"FM_S_111_2023","2020","Unknown",27.63,12.47,44.07,"Ponderosa pine (66.67%)","Regeneration present",600,"Douglas fir (100%)","Insect damage absent","Browse absent","Canker, mechanical damage, sapsucker"
"FM_S_113_2023","2020","Unknown",24.22,9.77,33.22,"Ponderosa pine (50.00%), Douglas fir (50.00%)","Regeneration absent",0,"None","Insect damage absent","Browse absent","Mechanical damage, sapsucker"
"FM_S_119_2023","2020","Unknown",17.28,10.01,35.16,"Ponderosa pine (50.00%), Douglas fir (50.00%)","Regeneration present",50,"Ponderosa pine (100%)","Insect damage present","Browse absent","Douglas fir adelgid, mistletoe"
"FM_S_120_2023","2020","Unknown",11.81,8.94,31.82,"Douglas fir (80.00%)","Regeneration present",500,"Douglas fir (80%)","Insect damage absent","Browse absent","Canker, mechanical damage"
"FM_SR_107_2023","2021","Unknown",29.84,7.75,20.03,"Rocky Mountain juniper (56.25%)","Regeneration present",0,"Douglas fir (100%)","Insect damage present","Browse absent","Bark beetle, canker, mechanical damage, sapsucker, wind damage"
"FM_SR_114_2023","2021","Unknown",2.47,6.4,20.18,"Aspen (50.00%), Douglas fir (50.00%)","Regeneration absent",0,"None","Insect damage absent","Browse present","Browse, canker, mechanical damage, sapsucker, wind damage"
"FM_SR_115_2023","2021","Unknown",27.73,7.12,19.43,"Rocky Mountain juniper (77.78%)","Regeneration present",50,"Rocky Mountain juniper (80%)","Insect damage present","Browse absent","Bark beetle, canker, mechanical damage, sapsucker"
"FM_SR_122_2023","2021","Unknown",15.8,6.69,28.02,"Ponderosa pine (66.67%)","Regeneration present",50,"Rocky Mountain juniper (100%)","Insect damage absent","Browse absent","Canker, mechanical damage, mistletoe, sapsucker, wind damage"
"FM_TC_83_2023","Unknown","Unknown",42.43,7.09,13.88,"Colorado pinyon (92.00%)","Regeneration present",0,"Colorado pinyon (100%)","Insect damage absent","Browse absent","Canker, mechanical damage, sapsucker"
"FM_TC_84_2023","2018","Unknown",16.03,8.44,30.04,"Douglas fir (100.00%)","Regeneration present",100,"Rocky Mountain juniper (100%)","Insect damage present","Browse absent","Canker, Douglas fir adelgid, mechanical damage, sapsucker, spruce budworm, wind damage"
"FM_TC_85_2023","2018","Unknown",0.47,4.13,11.15,"Colorado pinyon (100.00%)","Regeneration absent",0,"None","Insect damage absent","Browse absent","Mechanical damage, sapsucker"
"FM_TC_86_2023","2014","Thin from below",96.15,8.7,27.4,"White fir (69.05%)","Regeneration present",100,"Rocky Mountain juniper (100%)","Insect damage present","Browse absent","Bark beetle, canker, galls, mechanical damage, mistletoe, sapsucker, spruce budworm, wind damage"
"FM_TTCS_100_2023","2018","Unknown",37.57,5.99,24.78,"Douglas fir (94.44%)","Regeneration present",50,"Douglas fir (100%)","Insect damage present","Browse absent","Canker, fungus, mechanical damage, sapsucker, spruce budworm"
"FM_TTCS_99_2023","2018","Unknown",25.44,5.64,12.62,"Colorado pinyon (100.00%)","Regeneration present",100,"Colorado pinyon (100%)","Insect damage present","Browse absent","Bark beetle, canker, mechanical damage, spruce budworm"
"FM_UCSTT_96_2023","2018","Unknown",15.18,7,22.93,"Douglas fir (100.00%)","Regeneration absent",0,"None","Insect damage absent","Browse absent","Canker, galls, mechanical damage"
"FM_UCSTT_97_2023","2018","Unknown",24.03,10.91,38.62,"Ponderosa pine (71.43%)","Regeneration present",850,"Aspen (64.71%)","Insect damage present","Browse present","Bark beetle, browse, canker"
"FM_WTC_141_2023","2018","Unknown",36.27,11.81,45.79,"Douglas fir (88.89%)","Regeneration present",1200,"Aspen (100%)","Insect damage absent","Browse present","Browse, canker, mechanical damage, sapsucker"
"FM_WTC_143_2023","Unknown","Unknown",7.18,5.56,18.5,"Douglas fir (62.50%)","Regeneration present",400,"White fir (100%)","Insect damage present","Browse absent","Canker, Douglas fir adelgid, galls, mechanical damage, spruce budworm"
"FM_WTC_144_2023","2021","Unknown",43.93,7.76,32.18,"Douglas fir (83.33%)","Regeneration present",300,"Douglas fir (100%)","Insect damage present","Browse absent","Bark beetle, canker, mechanical damage, spruce budworm, wind damage"
"FM_WTC_149_2023","2021","Unknown",36.05,8.1,32.79,"Douglas fir (50.00%), Aspen (38.89%)","Regeneration present",4550,"Aspen (95.7%)","Insect damage absent","Browse present","Browse, canker, fungus, galls, mechanical damage, woodpecker"
"FM_WTC_150_2023","2018","Unknown",48.75,10.48,43.49,"Douglas fir (81.25%)","Regeneration present",2300,"Aspen (97.83%)","Insect damage absent","Browse present","Browse, canker, galls, mechanical damage, sapsucker"
"FM_WTC_151_2023","2021","Unknown",30.4,10.61,39.12,"Ponderosa pine (75.00%)","Regeneration present",400,"Douglas fir (87.5%)","Insect damage absent","Browse present","None"
