"row_id","year","day","month","crew","crew_size","start_time","end_time","minutes","person_minutes","area","plot","road_initials","point_num","treatment_type_short","treatment_type_long","treatment_year","weather","slope","lat","long","tree_id","species","living_dead","dbh","total_height_m","crown_height_m","live_crown_ratio","crown_dieback_percent","insect_disease","browsing_damage","light_exposure","crown_position","notes"
11,2022,10,6,"GT, SA, TM",3,1524,"1540",16,48,"Lakehouse","FM_BH_43","BH",43,"SALVAGE","HEAVY BUDWORM DAMAGE W/DEADTOPPED DF & WF",2010,"CLEAR","5.7",37.54164,105.405035,3,"PIPO","L",44.4,15,9.5,63.33333333,0,"N","N",5,4,""
12,2022,10,6,"GT, SA, TM",3,1524,"1540",16,48,"Lakehouse","FM_BH_43","BH",43,"SALVAGE","HEAVY BUDWORM DAMAGE W/DEADTOPPED DF & WF",2010,"CLEAR","5.7",37.54164,105.405035,4,"PIPO","L",53.3,13.8,8.7,63.04347826,0,"N","N",5,4,""
13,2022,10,6,"GT, SA, TM",3,1524,"1540",16,48,"Lakehouse","FM_BH_43","BH",43,"SALVAGE","HEAVY BUDWORM DAMAGE W/DEADTOPPED DF & WF",2010,"CLEAR","5.7",37.54164,105.405035,5,"PIPO","L",39.7,11.4,8.3,72.80701754,0,"N","N",5,4,"GASH NEAR BASE"
14,2022,9,6,"GT, SA, TM",3,928,"954",26,78,"Lakehouse","FM_BC_30","BC",30,"SHELTERWOOD","SHELTERWOOD/THIN FROM BELOW",2019,"SMOKEY HAZY SUNNY OVERCAST","2.4",37.538941,105.388911,1,"PIPO","L",50,2.9,0.82,28.27586207,0,"Y","N",5,4,"OLD ROAD THROUGH SITE; 90% TREE BLOW DOWN; FIRE DAMAGE"
15,2022,9,6,"GT, SA, TM",3,928,"954",26,78,"Lakehouse","FM_BC_30","BC",30,"SHELTERWOOD","SHELTERWOOD/THIN FROM BELOW",2019,"SMOKEY HAZY SUNNY OVERCAST","2.4",37.538941,105.388911,2,"PIPO","L",41,12.5,9.9,79.2,0,"N","N",5,4,""
16,2022,9,6,"GT, SA, TM",3,1004,"1150",106,318,"Lakehouse","FM_BC_24","BC",24,"UNKNOWN","UNKNOWN",2010,"CLOUDY, 71","9.8",37.540129,105.387142,1,"ABCO","L",34.7,14.5,12.8,88.27586207,0,"N","N",1,2,"LOTS OF BLOW DOWN AND COARSEWOODY DEBRIS AT SITE"
17,2022,9,6,"GT, SA, TM",3,1004,"1150",106,318,"Lakehouse","FM_BC_24","BC",24,"UNKNOWN","UNKNOWN",2010,"CLOUDY, 71","9.8",37.540129,105.387142,2,"PSME","L",28.9,15.2,9.6,63.15789474,0,"N","N",2,2,""
18,2022,9,6,"GT, SA, TM",3,1004,"1150",106,318,"Lakehouse","FM_BC_24","BC",24,"UNKNOWN","UNKNOWN",2010,"CLOUDY, 71","9.8",37.540129,105.387142,3,"ABCO","L",38,13.6,11.2,82.35294118,5,"Y","N",3,2,""
19,2022,9,6,"GT, SA, TM",3,1004,"1150",106,318,"Lakehouse","FM_BC_24","BC",24,"UNKNOWN","UNKNOWN",2010,"CLOUDY, 71","9.8",37.540129,105.387142,4,"POTR","D",22.1,11.1,NA,NA,NA,NA,NA,NA,NA,"SNAG"
20,2022,9,6,"GT, SA, TM",3,1004,"1150",106,318,"Lakehouse","FM_BC_24","BC",24,"UNKNOWN","UNKNOWN",2010,"CLOUDY, 71","9.8",37.540129,105.387142,5,"ABCO","L",22.5,6.5,5.2,80,5.2,"N","N",3,3,""
21,2022,9,6,"GT, SA, TM",3,1004,"1150",106,318,"Lakehouse","FM_BC_24","BC",24,"UNKNOWN","UNKNOWN",2010,"CLOUDY, 71","9.8",37.540129,105.387142,6,"ABCO","L",21.1,8.6,7,81.39534884,0,"N","N",3,3,""
22,2022,9,6,"GT, SA, TM",3,1004,"1150",106,318,"Lakehouse","FM_BC_24","BC",24,"UNKNOWN","UNKNOWN",2010,"CLOUDY, 71","9.8",37.540129,105.387142,7,"ABCO","L",12.5,4.1,1.8,43.90243902,5,"N","N",1,3,""
23,2022,9,6,"GT, SA, TM",3,1004,"1150",106,318,"Lakehouse","FM_BC_24","BC",24,"UNKNOWN","UNKNOWN",2010,"CLOUDY, 71","9.8",37.540129,105.387142,8,"ABCO","L",41.8,15.9,10.5,66.03773585,0,"N","N",4,2,""
24,2022,9,6,"GT, SA, TM",3,1004,"1150",106,318,"Lakehouse","FM_BC_24","BC",24,"UNKNOWN","UNKNOWN",2010,"CLOUDY, 71","9.8",37.540129,105.387142,9,"PSME","L",23.9,14.5,6.3,43.44827586,0,"Y","N",2,3,""
25,2022,9,6,"GT, SA, TM",3,1004,"1150",106,318,"Lakehouse","FM_BC_24","BC",24,"UNKNOWN","UNKNOWN",2010,"CLOUDY, 71","9.8",37.540129,105.387142,10,"ABCO","L",15.9,7.2,5.5,76.38888889,0,"Y","N",2,2,""
26,2022,9,6,"GT, SA, TM",3,1004,"1150",106,318,"Lakehouse","FM_BC_24","BC",24,"UNKNOWN","UNKNOWN",2010,"CLOUDY, 71","9.8",37.540129,105.387142,11,"ABCO","L",30.4,13.8,8.1,58.69565217,0,"N","N",2,2,"SPLIT BELOW DBH"
27,2022,9,6,"GT, SA, TM",3,1004,"1150",106,318,"Lakehouse","FM_BC_24","BC",24,"UNKNOWN","UNKNOWN",2010,"CLOUDY, 71","9.8",37.540129,105.387142,12,"ABCO","L",26.2,13.3,5.8,43.60902256,0,"Y","N",2,2,"SPLIT BELOW DBH"
28,2022,9,6,"GT, SA, TM",3,1004,"1150",106,318,"Lakehouse","FM_BC_24","BC",24,"UNKNOWN","UNKNOWN",2010,"CLOUDY, 71","9.8",37.540129,105.387142,13,"ABCO","L",19.6,11.2,3.6,32.14285714,0,"N","N",2,2,"SPLIT BELOW DBH"
29,2022,9,6,"GT, SA, TM",3,1004,"1150",106,318,"Lakehouse","FM_BC_24","BC",24,"UNKNOWN","UNKNOWN",2010,"CLOUDY, 71","9.8",37.540129,105.387142,14,"PSME","L",21.5,9.2,3.2,34.7826087,0,"N","N",1,2,""
30,2022,9,6,"GT, SA, TM",3,1004,"1150",106,318,"Lakehouse","FM_BC_24","BC",24,"UNKNOWN","UNKNOWN",2010,"CLOUDY, 71","9.8",37.540129,105.387142,15,"PSME","L",28.9,14,7.6,54.28571429,0,"N","N",2,2,""
31,2022,9,6,"GT, SA, TM",3,1004,"1150",106,318,"Lakehouse","FM_BC_24","BC",24,"UNKNOWN","UNKNOWN",2010,"CLOUDY, 71","9.8",37.540129,105.387142,16,"PSME","L",25.9,12.6,5.6,44.44444444,0,"N","N",1,2,""
32,2022,9,6,"GT, SA, TM",3,1004,"1150",106,318,"Lakehouse","FM_BC_24","BC",24,"UNKNOWN","UNKNOWN",2010,"CLOUDY, 71","9.8",37.540129,105.387142,17,"PSME","L",28.9,15.2,10.2,67.10526316,0,"N","N",2,2,""
33,2022,9,6,"GT, SA, TM",3,1004,"1150",106,318,"Lakehouse","FM_BC_24","BC",24,"UNKNOWN","UNKNOWN",2010,"CLOUDY, 71","9.8",37.540129,105.387142,18,"PSME","L",23.7,12.6,7.5,59.52380952,0,"Y","N",1,2,""
34,2022,9,6,"GT, SA, TM",3,1004,"1150",106,318,"Lakehouse","FM_BC_24","BC",24,"UNKNOWN","UNKNOWN",2010,"CLOUDY, 71","9.8",37.540129,105.387142,19,"PSME","L",20.8,10.4,6.4,61.53846154,0,"N","N",1,2,""
35,2022,9,6,"GT, SA, TM",3,1004,"1150",106,318,"Lakehouse","FM_BC_24","BC",24,"UNKNOWN","UNKNOWN",2010,"CLOUDY, 71","9.8",37.540129,105.387142,20,"ABCO","L",42.1,14.8,6.7,45.27027027,5,"Y","N",3,2,""
36,2022,9,6,"GT, SA, TM",3,1004,"1150",106,318,"Lakehouse","FM_BC_24","BC",24,"UNKNOWN","UNKNOWN",2010,"CLOUDY, 71","9.8",37.540129,105.387142,21,"ABCO","L",27.3,14.1,4.9,34.75177305,0,"N","N",3,2,""
37,2022,9,6,"GT, SA, TM",3,1004,"1150",106,318,"Lakehouse","FM_BC_24","BC",24,"UNKNOWN","UNKNOWN",2010,"CLOUDY, 71","9.8",37.540129,105.387142,22,"ABCO","L",24.3,8.5,5.3,62.35294118,10,"Y","N",2,3,""
38,2022,9,6,"GT, SA, TM",3,1004,"1150",106,318,"Lakehouse","FM_BC_24","BC",24,"UNKNOWN","UNKNOWN",2010,"CLOUDY, 71","9.8",37.540129,105.387142,23,"ABCO","L",30.8,12.8,10.8,84.375,5,"Y","N",4,2,""
39,2022,9,6,"GT, SA, TM",3,1004,"1150",106,318,"Lakehouse","FM_BC_24","BC",24,"UNKNOWN","UNKNOWN",2010,"CLOUDY, 71","9.8",37.540129,105.387142,24,"PSME","L",23.6,12.2,7.8,63.93442623,0,"N","N",4,2,""
40,2022,9,6,"GT, SA, TM",3,1004,"1150",106,318,"Lakehouse","FM_BC_24","BC",24,"UNKNOWN","UNKNOWN",2010,"CLOUDY, 71","9.8",37.540129,105.387142,25,"UNK","D",11.5,7.9,NA,NA,NA,NA,NA,NA,NA,"SNAG"
41,2022,9,6,"GT, SA, TM",3,1004,"1150",106,318,"Lakehouse","FM_BC_24","BC",24,"UNKNOWN","UNKNOWN",2010,"CLOUDY, 71","9.8",37.540129,105.387142,26,"ABCO","L",36.8,13.2,7,53.03030303,0,"Y","N",4,3,""
42,2022,9,6,"GT, SA, TM",3,1004,"1150",106,318,"Lakehouse","FM_BC_24","BC",24,"UNKNOWN","UNKNOWN",2010,"CLOUDY, 71","9.8",37.540129,105.387142,27,"PIFL","L",19.7,12.3,5.7,46.34146341,0,"Y","Y",3,2,""
43,2022,9,6,"GT, SA, TM",3,1004,"1150",106,318,"Lakehouse","FM_BC_24","BC",24,"UNKNOWN","UNKNOWN",2010,"CLOUDY, 71","9.8",37.540129,105.387142,28,"PIEN","L",21.3,11.6,6.6,56.89655172,0,"N","N",2,2,""
44,2022,9,6,"GT, SA, TM",3,1004,"1150",106,318,"Lakehouse","FM_BC_24","BC",24,"UNKNOWN","UNKNOWN",2010,"CLOUDY, 71","9.8",37.540129,105.387142,29,"PSME","L",42.1,15.4,12.8,83.11688312,5,"N","N",3,2,""
45,2022,9,6,"GT, SA, TM",3,1004,"1150",106,318,"Lakehouse","FM_BC_24","BC",24,"UNKNOWN","UNKNOWN",2010,"CLOUDY, 71","9.8",37.540129,105.387142,30,"ABCO","L",30.3,10.3,7.5,72.81553398,5,"N","N",2,2,""
46,2022,9,6,"GT, SA, TM",3,1004,"1150",106,318,"Lakehouse","FM_BC_24","BC",24,"UNKNOWN","UNKNOWN",2010,"CLOUDY, 71","9.8",37.540129,105.387142,31,"ABCO","L",11,4.1,2.9,70.73170732,10,"Y","N",4,4,""
47,2022,9,6,"GT, SA, TM",3,1004,"1150",106,318,"Lakehouse","FM_BC_24","BC",24,"UNKNOWN","UNKNOWN",2010,"CLOUDY, 71","9.8",37.540129,105.387142,32,"PSME","L",15.7,9.7,3.9,40.20618557,0,"N","N",3,2,""
48,2022,9,6,"GT, SA, TM",3,1004,"1150",106,318,"Lakehouse","FM_BC_24","BC",24,"UNKNOWN","UNKNOWN",2010,"CLOUDY, 71","9.8",37.540129,105.387142,33,"ABCO","L",36.4,16,10.9,68.125,5,"N","N",2,2,""
49,2022,9,6,"GT, SA, TM",3,1004,"1150",106,318,"Lakehouse","FM_BC_24","BC",24,"UNKNOWN","UNKNOWN",2010,"CLOUDY, 71","9.8",37.540129,105.387142,34,"UNK","D",10.9,5.8,NA,NA,NA,NA,NA,NA,NA,"SNAG"
50,2022,9,6,"GT, SA, TM",3,1004,"1150",106,318,"Lakehouse","FM_BC_24","BC",24,"UNKNOWN","UNKNOWN",2010,"CLOUDY, 71","9.8",37.540129,105.387142,35,"ABCO","L",26.3,11,4,36.36363636,5,"N","N",3,2,""
51,2022,9,6,"GT, SA, TM",3,1004,"1150",106,318,"Lakehouse","FM_BC_24","BC",24,"UNKNOWN","UNKNOWN",2010,"CLOUDY, 71","9.8",37.540129,105.387142,36,"ABCO","L",11.7,4.5,3.4,75.55555556,0,"N","N",1,3,""
52,2022,9,6,"GT, SA, TM",3,1004,"1150",106,318,"Lakehouse","FM_BC_24","BC",24,"UNKNOWN","UNKNOWN",2010,"CLOUDY, 71","9.8",37.540129,105.387142,37,"ABCO","L",10.6,4.2,2.9,69.04761905,10,"Y","N",5,4,""
53,2022,9,6,"GT, SA, TM",3,1004,"1150",106,318,"Lakehouse","FM_BC_24","BC",24,"UNKNOWN","UNKNOWN",2010,"CLOUDY, 71","9.8",37.540129,105.387142,38,"ABCO","L",33,14.4,8.9,61.80555556,5,"N","N",3,2,""
54,2022,9,6,"GT, SA, TM",3,1004,"1150",106,318,"Lakehouse","FM_BC_24","BC",24,"UNKNOWN","UNKNOWN",2010,"CLOUDY, 71","9.8",37.540129,105.387142,39,"ABCO","L",15.3,6.4,4.9,76.5625,0,"Y","N",2,2,""
55,2022,9,6,"GT, SA, TM",3,1004,"1150",106,318,"Lakehouse","FM_BC_24","BC",24,"UNKNOWN","UNKNOWN",2010,"CLOUDY, 71","9.8",37.540129,105.387142,40,"ABCO","L",10.3,5.6,3.9,69.64285714,0,"N","N",2,2,""
56,2022,9,6,"GT, SA, TM",3,1004,"1150",106,318,"Lakehouse","FM_BC_24","BC",24,"UNKNOWN","UNKNOWN",2010,"CLOUDY, 71","9.8",37.540129,105.387142,41,"ABCO","L",11.5,6,4.2,70,0,"Y","N",2,2,""
57,2022,9,6,"GT, SA, TM",3,1241,"1256",15,45,"Lakehouse","FM_BC_23","BC",23,"UNKNOWN","UNKNOWN",2010,"OVERCAST, SUNNY","4.6",37.539129,105.384485,1,"PIPO","L",43.9,13.6,9.2,67.64705882,0,"N","N",5,4,""
58,2022,8,6,"GT, SA, TM, HA",4,1140,"1154",14,56,"Lakehouse","FM_BC_22","BC",22,"UNKNOWN","UNKNOWN",2009,"SUNNY, CLEAR","GIS",37.54546,105.392525,1,"POTR","L",46.7,17.2,2.8,16.27906977,0,"N","Y",5,4,""
59,2022,8,6,"GT, SA, TM, HA",4,1140,"1154",14,56,"Lakehouse","FM_BC_22","BC",22,"UNKNOWN","UNKNOWN",2009,"SUNNY, CLEAR","GIS",37.54546,105.392525,2,"PSME","L",55.3,15.4,10.7,69.48051948,0,"N","N",5,4,""
60,2022,8,6,"GT, SA, TM, HA",4,1340,"1354",14,56,"Lakehouse","FM_BC_27","BC",27,"SHELTERWOOD","SHELTERWOOD/THIN FROM BELOW",2019,"SUNNY, CLEAR","GIS",37.538439,105.394428,1,"PSME","L",37.5,15.2,8.5,55.92105263,0,"Y","N",5,4,""
61,2022,8,6,"GT, SA, TM, HA",4,1340,"1354",14,56,"Lakehouse","FM_BC_27","BC",27,"SHELTERWOOD","SHELTERWOOD/THIN FROM BELOW",2019,"SUNNY, CLEAR","GIS",37.538439,105.394428,2,"PSME","L",47.1,17.7,12.2,68.92655367,0,"N","N",5,4,""
62,2022,8,6,"GT, SA, TM, HA",4,1340,"1354",14,56,"Lakehouse","FM_BC_27","BC",27,"SHELTERWOOD","SHELTERWOOD/THIN FROM BELOW",2019,"SUNNY, CLEAR","GIS",37.538439,105.394428,3,"POTR","L",37.2,11.7,4.3,36.75213675,0,"N","N",4,4,""
63,2022,8,6,"GT, SA, TM, HA",4,1015,"1053",38,152,"Lakehouse","FM_LHP_18","LHP",18,"UNKNOWN","UNKNOWN",2016,"CLEAR","GIS",37.551522,105.388866,1,"PSME","L",52.9,22.2,15.5,69.81981982,0,"Y","N",1,2,""
64,2022,8,6,"GT, SA, TM, HA",4,1015,"1053",38,152,"Lakehouse","FM_LHP_18","LHP",18,"UNKNOWN","UNKNOWN",2016,"CLEAR","GIS",37.551522,105.388866,2,"PSME","L",30.3,14.7,8,54.42176871,0,"Y","N",2,2,""
65,2022,8,6,"GT, SA, TM, HA",4,1015,"1053",38,152,"Lakehouse","FM_LHP_18","LHP",18,"UNKNOWN","UNKNOWN",2016,"CLEAR","GIS",37.551522,105.388866,3,"PSME","L",33.8,11.6,6.2,53.44827586,0,"N","N",1,2,""
66,2022,8,6,"GT, SA, TM, HA",4,1015,"1053",38,152,"Lakehouse","FM_LHP_18","LHP",18,"UNKNOWN","UNKNOWN",2016,"CLEAR","GIS",37.551522,105.388866,4,"PSME","L",21.7,12.4,2.2,17.74193548,0,"N","N",1,2,""
67,2022,8,6,"GT, SA, TM, HA",4,1015,"1053",38,152,"Lakehouse","FM_LHP_18","LHP",18,"UNKNOWN","UNKNOWN",2016,"CLEAR","GIS",37.551522,105.388866,5,"PSME","L",40.6,16.3,6.1,37.42331288,0,"N","N",2,2,""
68,2022,8,6,"GT, SA, TM, HA",4,1015,"1053",38,152,"Lakehouse","FM_LHP_18","LHP",18,"UNKNOWN","UNKNOWN",2016,"CLEAR","GIS",37.551522,105.388866,6,"PIPO","L",41.5,19.9,11,55.27638191,0,"N","N",3,2,""
69,2022,8,6,"GT, SA, TM, HA",4,1015,"1053",38,152,"Lakehouse","FM_LHP_18","LHP",18,"UNKNOWN","UNKNOWN",2016,"CLEAR","GIS",37.551522,105.388866,7,"PIPO","L",52.8,17.3,8.2,47.39884393,0,"N","N",3,2,""
70,2022,8,6,"GT, SA, TM, HA",4,1015,"1053",38,152,"Lakehouse","FM_LHP_18","LHP",18,"UNKNOWN","UNKNOWN",2016,"CLEAR","GIS",37.551522,105.388866,8,"PSME","L",30.7,16.9,11.5,68.04733728,0,"Y","N",2,2,""
71,2022,8,6,"GT, SA, TM, HA",4,1015,"1053",38,152,"Lakehouse","FM_LHP_18","LHP",18,"UNKNOWN","UNKNOWN",2016,"CLEAR","GIS",37.551522,105.388866,9,"PSME","L",31.3,15.6,8.9,57.05128205,5,"N","N",2,2,""
72,2022,8,6,"GT, SA, TM, HA",4,1015,"1053",38,152,"Lakehouse","FM_LHP_18","LHP",18,"UNKNOWN","UNKNOWN",2016,"CLEAR","GIS",37.551522,105.388866,10,"PSME","L",23,13.7,6.8,49.6350365,0,"Y","N",1,2,""
73,2022,8,6,"GT, SA, TM, HA",4,849,"933",44,176,"Lakehouse","FM_BC_19","BC",19,"THIN FROM BELOW","THIN FROM BELOW. REMOVE ALLWHITE FIR, RMJ,ANDLARGEPOORLY FORMED DF. RETAIN ASPEN, PONDEROSA PINE, AND YOUNG DF",2015,"SUNNY, CLEAR","GIS",37.55221,105.397309,1,"PSME","L",22.6,10.3,7.8,75.72815534,0,"Y","N",3,2,""
74,2022,8,6,"GT, SA, TM, HA",4,849,"933",44,176,"Lakehouse","FM_BC_19","BC",19,"THIN FROM BELOW","THIN FROM BELOW. REMOVE ALLWHITE FIR, RMJ,ANDLARGEPOORLY FORMED DF. RETAIN ASPEN, PONDEROSA PINE, AND YOUNG DF",2015,"SUNNY, CLEAR","GIS",37.55221,105.397309,2,"PIPO","L",49.5,14.8,7.2,48.64864865,0,"Y","N",5,2,""
75,2022,8,6,"GT, SA, TM, HA",4,849,"933",44,176,"Lakehouse","FM_BC_19","BC",19,"THIN FROM BELOW","THIN FROM BELOW. REMOVE ALLWHITE FIR, RMJ,ANDLARGEPOORLY FORMED DF. RETAIN ASPEN, PONDEROSA PINE, AND YOUNG DF",2015,"SUNNY, CLEAR","GIS",37.55221,105.397309,3,"PSME","L",15,7.2,5.7,79.16666667,0,"N","N",2,4,""
76,2022,8,6,"GT, SA, TM, HA",4,849,"933",44,176,"Lakehouse","FM_BC_19","BC",19,"THIN FROM BELOW","THIN FROM BELOW. REMOVE ALLWHITE FIR, RMJ,ANDLARGEPOORLY FORMED DF. RETAIN ASPEN, PONDEROSA PINE, AND YOUNG DF",2015,"SUNNY, CLEAR","GIS",37.55221,105.397309,4,"PIPO","L",39,15.3,7.6,49.67320261,0,"Y","N",5,2,""
77,2022,8,6,"GT, SA, TM, HA",4,849,"933",44,176,"Lakehouse","FM_BC_19","BC",19,"THIN FROM BELOW","THIN FROM BELOW. REMOVE ALLWHITE FIR, RMJ,ANDLARGEPOORLY FORMED DF. RETAIN ASPEN, PONDEROSA PINE, AND YOUNG DF",2015,"SUNNY, CLEAR","GIS",37.55221,105.397309,5,"PIPO","L",34.2,11.7,5.9,50.42735043,0,"N","N",4,2,""
78,2022,8,6,"GT, SA, TM, HA",4,849,"933",44,176,"Lakehouse","FM_BC_19","BC",19,"THIN FROM BELOW","THIN FROM BELOW. REMOVE ALLWHITE FIR, RMJ,ANDLARGEPOORLY FORMED DF. RETAIN ASPEN, PONDEROSA PINE, AND YOUNG DF",2015,"SUNNY, CLEAR","GIS",37.55221,105.397309,6,"PICO","L",29,11.8,9,76.27118644,0,"Y","N",5,2,""
79,2022,8,6,"GT, SA, TM, HA",4,849,"933",44,176,"Lakehouse","FM_BC_19","BC",19,"THIN FROM BELOW","THIN FROM BELOW. REMOVE ALLWHITE FIR, RMJ,ANDLARGEPOORLY FORMED DF. RETAIN ASPEN, PONDEROSA PINE, AND YOUNG DF",2015,"SUNNY, CLEAR","GIS",37.55221,105.397309,7,"PIPO","L",31.4,12.6,4.8,38.0952381,0,"N","N",5,2,""
80,2022,8,6,"GT, SA, TM, HA",4,849,"933",44,176,"Lakehouse","FM_BC_19","BC",19,"THIN FROM BELOW","THIN FROM BELOW. REMOVE ALLWHITE FIR, RMJ,ANDLARGEPOORLY FORMED DF. RETAIN ASPEN, PONDEROSA PINE, AND YOUNG DF",2015,"SUNNY, CLEAR","GIS",37.55221,105.397309,8,"PSME","L",23.4,12.5,7.8,62.4,0,"Y","N",5,2,""
81,2022,8,6,"GT, SA, TM, HA",4,849,"933",44,176,"Lakehouse","FM_BC_19","BC",19,"THIN FROM BELOW","THIN FROM BELOW. REMOVE ALLWHITE FIR, RMJ,ANDLARGEPOORLY FORMED DF. RETAIN ASPEN, PONDEROSA PINE, AND YOUNG DF",2015,"SUNNY, CLEAR","GIS",37.55221,105.397309,9,"PSME","L",19.4,7.2,NA,NA,NA,NA,NA,NA,NA,""
82,2022,8,6,"GT, SA, TM, HA",4,849,"933",44,176,"Lakehouse","FM_BC_19","BC",19,"THIN FROM BELOW","THIN FROM BELOW. REMOVE ALLWHITE FIR, RMJ,ANDLARGEPOORLY FORMED DF. RETAIN ASPEN, PONDEROSA PINE, AND YOUNG DF",2015,"SUNNY, CLEAR","GIS",37.55221,105.397309,10,"PSME","L",25.1,12.4,5.2,41.93548387,0,"Y","N",5,2,""
83,2022,8,6,"GT, SA, TM, HA",4,849,"933",44,176,"Lakehouse","FM_BC_19","BC",19,"THIN FROM BELOW","THIN FROM BELOW. REMOVE ALLWHITE FIR, RMJ,ANDLARGEPOORLY FORMED DF. RETAIN ASPEN, PONDEROSA PINE, AND YOUNG DF",2015,"SUNNY, CLEAR","GIS",37.55221,105.397309,11,"PSME","L",11.3,4.84,1.2,24.79338843,5,"Y","N",5,4,""
84,2022,8,6,"GT, SA, TM, HA",4,849,"933",44,176,"Lakehouse","FM_BC_19","BC",19,"THIN FROM BELOW","THIN FROM BELOW. REMOVE ALLWHITE FIR, RMJ,ANDLARGEPOORLY FORMED DF. RETAIN ASPEN, PONDEROSA PINE, AND YOUNG DF",2015,"SUNNY, CLEAR","GIS",37.55221,105.397309,12,"PSME","L",38.5,13.8,11.8,85.50724638,0,"N","N",5,4,""
85,2022,8,6,"GT, SA, TM, HA",4,849,"933",44,176,"Lakehouse","FM_BC_19","BC",19,"THIN FROM BELOW","THIN FROM BELOW. REMOVE ALLWHITE FIR, RMJ,ANDLARGEPOORLY FORMED DF. RETAIN ASPEN, PONDEROSA PINE, AND YOUNG DF",2015,"SUNNY, CLEAR","GIS",37.55221,105.397309,13,"PSME","L",21,9,8,88.88888889,5,"Y","N",5,4,""
86,2022,8,6,"GT, SA, TM, HA",4,849,"933",44,176,"Lakehouse","FM_BC_19","BC",19,"THIN FROM BELOW","THIN FROM BELOW. REMOVE ALLWHITE FIR, RMJ,ANDLARGEPOORLY FORMED DF. RETAIN ASPEN, PONDEROSA PINE, AND YOUNG DF",2015,"SUNNY, CLEAR","GIS",37.55221,105.397309,14,"PSME","L",32,11.7,9.4,80.34188034,0,"Y","N",5,4,""
87,2022,8,6,"GT, SA, TM, HA",4,849,"933",44,176,"Lakehouse","FM_BC_19","BC",19,"THIN FROM BELOW","THIN FROM BELOW. REMOVE ALLWHITE FIR, RMJ,ANDLARGEPOORLY FORMED DF. RETAIN ASPEN, PONDEROSA PINE, AND YOUNG DF",2015,"SUNNY, CLEAR","GIS",37.55221,105.397309,15,"PSME","L",38.4,11.1,9.1,81.98198198,0,"Y","N",5,2,""
